writeFailed "ERROR:##GAME FOLDER IS##READ-ONLY"


loading "LOADING"



requestDenied "DENIED BY SERVER"


serverShutdownMessage "THE SERVER HAS BEEN##SHUT DOWN FOR MAINTENANCE.##PLEASE TRY AGAIN LATER."

upgradeMessage "PLEASE DOWNLOAD##THE LATEST VERSION:"

manualRestartMessage "PRESS [ESC] TO QUIT AND##RESTART GAME TO APPLY UPDATE"


newAccount "NEW ACCOUNT"
existingAccount "EXISTING ACCOUNT"


players "%s PLAYERS"
player "%s PLAYER"

playersLong "%s ACTIVE PLAYERS"
playerLong "%s ACTIVE PLAYER"


deposit  "DEPOSIT"
withdraw "WITHDRAW"
cancel "CANCEL"
clear "CLEAR"

clearTip "CLEAR LOCAL ACCOUNT DETAILS"


email "EMAIL"
card "CARD#"
expMonth "EXP MM"
expYear "YYYY"
cvc "CVC"
amount "ADD $"

secure "256-BIT ECDH ENCRYPTION"
noStore "CARD INFO NOT STORED ON SERVER"

invalid "INVALID"


addMoney "DEPOSIT $"

feeDisplay "(%s FEE)"

err_encryption "ENCRYPTION FAILED"


accountExists "ACCOUNT EXISTS"
paymentFailed "PAYMENT FAILED"
cardAlreadyUsed "OTHER PLAYER USED SAME CARD"


moreDepositInfoNeededMessage "MORE INFORMATION IS NEEDED##BEFORE YOU CAN DEPOSIT##MORE MONEY.####AN EMAIL HAS BEEN SENT##TO YOU WITH FURTHER##INSTRUCTIONS."


moreWithdrawalInfoNeededMessage "TAX INFORMATION IS NEEDED##BEFORE YOU CAN WITHDRAW##MORE MONEY THIS YEAR.####AN EMAIL HAS BEEN SENT##TO YOU WITH FURTHER##INSTRUCTIONS."


depositBlocked "YOU CANNOT DEPOSIT MORE"


emailReceipt "RECEIPT SENT BY EMAIL" 
newAccountDetails "NEW ACCOUNT DETAILS:"

copyToClipboard "COPY TO CLIPBOARD"

savedLocally "(ACCOUNT DETAILS SAVED LOCALLY)"

done "DONE"


loggingIn "LOGGING IN##[%s]"


okay "OK"


oldBalance "OLD BALANCE:"

addedAmount "ADDED:"
withdrawAmount "WITHDREW:"
leftWithAmount "LEFT WITH:"
joinedWithAmount "JOINED WITH:"


newBalance "NEW BALANCE:"
atSignTip "INSERT '@' SIGN (INTL KEYBOARDS)"


loginButton "LOGIN"
loginNoSaveButton "TEMP LOGIN"

saveTip "LOGIN AND STORE DETAILS LOCALLY"
noSaveTip "DO NOT STORE DETAILS LOCALLY"


accountKey "KEY"
paste "PASTE"



sendCheckUS "MAIL A U.S. CHECK"
sendCheckGlobal "MAIL A GLOBAL CHECK"

accountTransfer "TRANSFER TO ANOTHER PLAYER"

fee "FEE"
free "FREE"

checkNoteUS "U.S. RESIDENTS:##(%s)"
checkNoteGlobal "GLOBAL RESIDENTS:##(%s)"

checkBalanceLowUS "(U.S. CHECK: BALANCE TOO LOW)" 

checkBalanceLowGlobal "(GLOBAL CHECK: BALANCE TOO LOW)" 

transferNote "WORLDWIDE RESIDENTS:##(%s)"

transferBalanceLow "(BALANCE TOO LOW FOR TRANSFER)" 


